Reg	County	DOT ID	Route	Co Rd	Name	From	To	Co Ordr	Beg	End	Length	Muni Code	Muni Type	Municipality	Jurisdiction	FC	UAC	NHS	Overlap #	Olap rank	HPMS	SH No	Lanes	Pvmnt	Divided	One Way	Pkwy	Grouped	Svce Rd	Disc	Station	AADT	AADT Yr
4	MONROE	100358	I390				RTS 390 490I END RT 390I	3	18.7	19.12	0.42	316	Town	Gates	01 NYSDOT	11	75664	1				60-26	6	O	Y						11	87600	2007
4	MONROE	100422	I490			WINTON RD	RT 590I NB RAMP OVER	2	24.55	24.82	0.27	2048	City	Rochester	01 NYSDOT	11	75664	1			3007383	60-6	7	A	Y						646	88000	2009
4	MONROE	100443	I590			HIGHLAND AVE OVER		1	4.37	4.7	0.33	2048	City	Rochester	01 NYSDOT	11	75664	1			3007599	63-8	6	O	Y						118	88600	2009
4	MONROE	100443	I590					1	4.7	4.86	0.16	2048	City	Rochester	01 NYSDOT	11	75664	1			3007599	60-9	6	O	Y						118	88600	2009
4	MONROE	100443	I590				RTS 490I & 590 END RT 590I	1	4.86	4.91	0.05	2048	City	Rochester	01 NYSDOT	11	75664	1				60-9	4	A	Y						118	88600	2009
4	MONROE	100444	NY590			RT 404 UNDER	CR 89 NORTON STREET OVER	1	2.61	3.4	0.79	419	Town	Irondequoit	01 NYSDOT	12	75664	1				56-7	6	O	Y						269	92500	2008
4	MONROE	100422	I490			RAMPS CHILD ST OVER CONNECTIONS - EXIT 11		2	19.85	20.09	0.24	2048	City	Rochester	01 NYSDOT	11	75664	1				68-7	6	A	Y						155	94400	2001
4	MONROE	100422	I490				SAXTON ST OVER NO CONN	2	20.09	20.18	0.09	2048	City	Rochester	01 NYSDOT	11	75664	1				68-7	8	A	Y						155	94400	2001
4	MONROE	100422	I490			SAXTON ST OVER NO CONN	GRAPE ST OVER NO CONN	2	20.18	20.35	0.17	2048	City	Rochester	01 NYSDOT	11	75664	1				68-7	8	A	Y						155	94400	2001
4	MONROE	100422	I490			GRAPE ST OVER NO CONN	BROWN ST UNDER WITH CONNECTIONS - EXIT 12	2	20.35	20.49	0.14	2048	City	Rochester	01 NYSDOT	11	75664	1				68-7	6	O	Y						155	94400	2001
4	MONROE	100422	I490			BROWN ST UNDER WITH CONNECTIONS - EXIT 12		2	20.49	20.51	0.02	2048	City	Rochester	01 NYSDOT	11	75664	1				68-7	6	O	Y						27	94400	2002
4	MONROE	100422	I490					2	20.51	20.55	0.04	2048	City	Rochester	01 NYSDOT	11	75664	1				68-7	8	C	Y						27	94400	2002
4	MONROE	100422	I490				BROADS ST UNDER NO CONN	2	20.55	20.58	0.03	2048	City	Rochester	01 NYSDOT	11	75664	1				68-7	4	O	Y						27	94400	2002
4	MONROE	100422	I490			BROADS ST UNDER NO CONN		2	20.58	20.74	0.16	2048	City	Rochester	01 NYSDOT	11	75664	1			3007353	68-7	6	O	Y						27	94400	2002
4	MONROE	100422	I490				RAILROAD IS OVER	2	20.74	20.77	0.03	2048	City	Rochester	01 NYSDOT	11	75664	1			3007353	71-7	6	A	Y						27	94400	2002
4	MONROE	100422	I490			RAILROAD IS OVER	INNER LOOP 1S TIME	2	20.77	20.89	0.12	2048	City	Rochester	01 NYSDOT	11	75664	1			3007353	71-7	6	A	Y						27	94400	2002
4	MONROE	100443	I590			ELMWOOD AVE OVER NO CONNECTIONS	ROCHESTER CITY LINE	1	3.63	4.34	0.71	92	Town	Brighton	01 NYSDOT	11	75664	1				63-4	6	O	Y						100	95700	2008
4	MONROE	100443	I590			ROCHESTER CITY LINE	HIGHLAND AVE OVER	1	4.34	4.37	0.03	2048	City	Rochester	01 NYSDOT	11	75664	1				63-8	6	A	Y						100	95700	2008
4	MONROE	100422	I490			MT READ BLVD UNDER WITH CONNECTIONS - EXIT 10		2	18.81	19.05	0.24	2048	City	Rochester	01 NYSDOT	11	75664	1				68-7	6	A	Y						153	98700	2005
4	MONROE	100422	I490					2	19.05	19.52	0.47	2048	City	Rochester	01 NYSDOT	11	75664	1				68-7	8	A	Y						153	98700	2005
4	MONROE	100422	I490				RAMPS AMES ST OVER WITH CONNECTIONS - EXIT 11	2	19.52	19.59	0.07	2048	City	Rochester	01 NYSDOT	11	75664	1				68-7	6	A	Y						153	98700	2005
4	MONROE	100422	I490			PENFIELD RD	RT 441 LINDEN AVE	2	25.68	26.5	0.82	92	Town	Brighton	01 NYSDOT	11	75664	1				58-16	6	A	Y						546	98800	2007
4	MONROE	100444	NY590			RT 286 - ROCHESTER CITY LINE UNDER		1	1.25	1.91	0.66	2048	City	Rochester	01 NYSDOT	12	75664	1			3003352	59-8	6	O	Y						72	98800	2011
4	MONROE	100444	NY590				RT 404 UNDER	1	1.91	2.61	0.7	419	Town	Irondequoit	01 NYSDOT	12	75664	1			3003352	56-7	6	O	Y						72	98800	2011
4	MONROE	100422	I490			RT 390I 390 OUTER LOOP - EXIT 9	ROCHESTER CITY LINE	2	17.81	18.09	0.28	316	Town	Gates	01 NYSDOT	11	75664	1				60-13	4	O	Y						578	99600	2002
4	MONROE	100422	I490			ROCHESTER CITY LINE	RAILROAD IS OVER	2	18.09	18.53	0.44	2048	City	Rochester	01 NYSDOT	11	75664	1				61-19	8	A	Y						578	99600	2002
4	MONROE	100422	I490			RAILROAD IS OVER		2	18.53	18.58	0.05	2048	City	Rochester	01 NYSDOT	11	75664	1				61-19	8	A	Y						578	99600	2002
4	MONROE	100422	I490				MT READ BLVD UNDER WITH CONNECTIONS - EXIT 10	2	18.58	18.81	0.23	2048	City	Rochester	01 NYSDOT	11	75664	1				61-19	6	A	Y						578	99600	2002
4	MONROE	100359	NY390			RT 31	RAILROAD UNDER	1	0.6	1.06	0.46	316	Town	Gates	01 NYSDOT	12	75664	1			3008199	67-9	6	O	Y						22	99700	2003
4	MONROE	100359	NY390			RAILROAD UNDER	TROLLEY BLVD UNDER NO CONN	1	1.06	1.07	0.01	316	Town	Gates	01 NYSDOT	12	75664	1			3008199	67-9	6	O	Y						22	99700	2003
4	MONROE	100359	NY390			TROLLEY BLVD UNDER NO CONN	LEXINGTON AVE RAMP	1	1.07	1.4	0.33	316	Town	Gates	01 NYSDOT	12	75664	1			3008199	67-9	6	O	Y						22	99700	2003
4	MONROE	100444	NY590			RT 941V BLOSSOM RD UNDER		1	0.64	0.76	0.12	92	Town	Brighton	01 NYSDOT	12	75664	1				58-17	4	O	Y						4	103000	2009
4	MONROE	100444	NY590					1	0.76	0.89	0.13	92	Town	Brighton	01 NYSDOT	12	75664	1				58-17	6	O	Y						4	103000	2009
4	MONROE	100444	NY590				RT 286 - ROCHESTER CITY LINE UNDER	1	0.89	1.25	0.36	92	Town	Brighton	01 NYSDOT	12	75664	1				59-14	6	O	Y						4	103000	2009
4	MONROE	100422	I490			RAMPS FROM RT 590I SB	PENFIELD RD	2	25.35	25.68	0.33	92	Town	Brighton	01 NYSDOT	11	75664	1			2220843	58-16	6	A	Y						545	104400	2008
4	MONROE	100422	I490			CULVER RD OVER WITH CONNECTIONS		2	23.55	23.79	0.24	2048	City	Rochester	01 NYSDOT	11	75664	1				58-2	6	O	Y						544	108200	1997
4	MONROE	100422	I490					2	23.79	24.14	0.35	2048	City	Rochester	01 NYSDOT	11	75664	1				60-6	7	A	Y						544	108200	1997
